"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.258107313246265,0.0778217260802263,-3.31664852794684,0.00091481987035303
"prod_logchanges_b1",-0.172595999458971,0.0207344029319012,-8.32413646179421,0.0000000000000000979909394109662
"prod_logchanges_b2",-0.346352903348472,0.0352091269498922,-9.83702049304951,0.000000000000000000000102757863285236
"prod_logchanges_b3",-0.0397205314280512,0.0406605347700252,-0.976881677840918,0.328655220705934
"prod_logchanges_b4",-0.130213602780003,0.0288135281172226,-4.51918287306757,0.00000629083895704282
"prod_logchanges_b5",-0.138567613897166,0.013908154140991,-9.96304847447518,0.0000000000000000000000295599136484442
"prod_logchanges_c1",-0.538135728188676,0.235599457144269,-2.28411276796427,0.0223891715605168
"prod_logchanges_c1_lag1",-0.19990982680263,0.22625961467626,-0.883541798162558,0.376968315985544
"prod_logchanges_c1_lag2",-0.384977885279812,0.241701995723591,-1.59277909198595,0.111246520827359
"prod_logchanges_c1_lag3",-0.547118559636444,0.223134186885367,-2.45197101920344,0.0142273567217207
"prod_logchanges_c2",0.0648705018432481,0.099316559900488,0.653169037552713,0.513664775863149
"prod_logchanges_c2_lag1",0.0481098837980202,0.0815613738590075,0.589861125698865,0.555299260411609
"prod_logchanges_c2_lag2",0.480213437705652,0.0909378337862165,5.28067821402667,0.000000131854056277571
"prod_logchanges_c2_lag3",0.367046082120775,0.0835616628876086,4.3925176861841,0.0000113387929870325
"prod_logchanges_c3",1.11336513352407,0.182234487855161,6.10951937049898,0.000000001042745278261
"prod_logchanges_c3_lag1",0.363956426088868,0.182449291426841,1.9948360623522,0.0460922786125961
"prod_logchanges_c3_lag2",0.279672618655001,0.177662548778928,1.57417880457748,0.115482915189368
"prod_logchanges_c3_lag3",0.217992302478889,0.170071169643876,1.28177105464352,0.199957537583
"prod_logchanges_c4",0.221626946353883,0.114467757525901,1.93615172642598,0.0528818583934188
"prod_logchanges_c4_lag1",-0.184342611987051,0.124545152446435,-1.48012675215388,0.13887606691166
"prod_logchanges_c4_lag2",-0.177961602018177,0.132862346940459,-1.33944346247269,0.180461756440322
"prod_logchanges_c4_lag3",-0.146667060606687,0.120412186200784,-1.2180416719793,0.223241564711557
"prod_logchanges_c5",0.15346781542342,0.196498031669557,0.78101451764922,0.434815461564437
"prod_logchanges_c5_lag1",0.163199717729173,0.159985129968385,1.02009304090588,0.307713041703742
"prod_logchanges_c5_lag2",-0.0698872035462869,0.201662461187877,-0.346555343689756,0.728933881152796
"prod_logchanges_c5_lag3",0.144632327895487,0.138272724264931,1.04599318965012,0.295593584718851
"(Intercept)",-0.881797918992695,0.23413028762568,-3.76627017347916,0.000166815770149097
"prod_logchanges_b1",-0.182113004877325,0.0215237350411191,-8.46103171821318,0.0000000000000000308866105023512
"prod_logchanges_b2",-0.403382136660159,0.0420885524346785,-9.58412949188996,0.00000000000000000000119741930590611
"prod_logchanges_b3",-0.101299974963898,0.0450926074569112,-2.24648741061817,0.0246982099649357
"prod_logchanges_b4",-0.109824141833005,0.0289114343668915,-3.79864037319339,0.000146499781875573
"prod_logchanges_b5",-0.151044071570693,0.014303138445635,-10.5602048211166,0.0000000000000000000000000657565746018115
"prod_logchanges_c1",0.000428592233787155,0.225213274829804,0.00190305049340918,0.998481630686154
"prod_logchanges_c1_lag1",0.357812765850616,0.214761300175289,1.66609517431012,0.0957310738859971
"prod_logchanges_c1_lag2",0.193517287171008,0.236833529620229,0.817102576148403,0.413892567266045
"prod_logchanges_c1_lag3",0.000512563303626004,0.212662616193126,0.00241021817939326,0.998076982191737
"prod_logchanges_c2",-0.292700018308781,0.0953996212294336,-3.06814654541284,0.00216064615891059
"prod_logchanges_c2_lag1",-0.306544453196966,0.0802554942200996,-3.81960707084143,0.000134609714104135
"prod_logchanges_c2_lag2",0.127013792898687,0.0899574714560222,1.41193155880088,0.158006489488302
"prod_logchanges_c2_lag3",0.0602294243682476,0.0795602332575324,0.757029258238698,0.449053184620602
"prod_logchanges_c3",0.810223786958348,0.163447810701976,4.95707947067996,0.00000072935240037984
"prod_logchanges_c3_lag1",-0.0146307938510438,0.153514030115887,-0.095305906828184,0.924074083478085
"prod_logchanges_c3_lag2",-0.0948289460368168,0.155791447283092,-0.60869160464567,0.542745035929164
"prod_logchanges_c3_lag3",-0.19223087452127,0.150315607732029,-1.27884840051982,0.200985138746058
"prod_logchanges_c4",0.333699910611636,0.102489797269145,3.2559329757997,0.00113460357963413
"prod_logchanges_c4_lag1",-0.106311099080774,0.110434594155883,-0.962661201350655,0.335744785101334
"prod_logchanges_c4_lag2",-0.149216072799059,0.12193744345849,-1.22371003169223,0.221095339770355
"prod_logchanges_c4_lag3",-0.0549466774231811,0.11386894855437,-0.48254311751149,0.629432523949022
"prod_logchanges_c5",0.264447853616962,0.190672151829644,1.38692436771381,0.165500964812962
"prod_logchanges_c5_lag1",0.270248431434351,0.15824259254782,1.70781094446923,0.0877077124640672
"prod_logchanges_c5_lag2",0.069547728065313,0.196481448409741,0.353965876311531,0.723373180686853
"prod_logchanges_c5_lag3",0.258866202275171,0.1354755063204,1.91079708285387,0.0560640563639572
"factor(country)BE",0.608153524954586,0.19260799320857,3.15746773964896,0.0015969893731562
"factor(country)CZ",-1.6852949501026,0.354278031341428,-4.75698406621898,0.00000199723767407166
"factor(country)DE",-0.0991393326544418,0.162483219962391,-0.610151206243874,0.541777857242355
"factor(country)DK",-0.537596377605724,0.184368717640893,-2.91587631830707,0.00355612245029393
"factor(country)EL",-0.300634487107225,0.366786902217257,-0.819643464065552,0.41244222483387
"factor(country)FI",-0.746880885004019,0.178643302797519,-4.18085018194363,0.0000293315966532358
"factor(country)FR",-0.430049380041233,0.141891416031609,-3.03083436665001,0.00244608314188839
"factor(country)IT",0.304319500135525,0.175718656383666,1.73185651653898,0.0833351632549749
"factor(country)LU",-1.21924205989203,0.395838399055338,-3.08015104851307,0.0020755205481859
"factor(country)NL",-0.0770306427555548,0.186251936907604,-0.413583042595515,0.679189862282326
"factor(country)SE",-0.276900912045598,0.23084769018369,-1.19949613455202,0.23036831006698
"factor(country)SI",-1.35687077167836,0.448511100656633,-3.02527801361407,0.00249142563846909
"factor(country)SK",-1.53555047958479,0.323210818825844,-4.75092537175308,0.00000205786565815255
"factor(country)US",-0.193375448200983,0.292169045391317,-0.661861519046228,0.508077804210581
"factor(code)13t15",-4.24168574700298,0.350026733346545,-12.1181765359719,0.00000000000000000000000000000000159143020743015
"factor(code)16t18",-1.30471416642871,0.256567179098629,-5.08527306965928,0.000000374885232282903
"factor(code)19",-1.39661887300143,0.809927852198617,-1.72437442324053,0.0846763987255106
"factor(code)20t21",0.42044204864774,0.282447536411168,1.48856688215432,0.136638321739941
"factor(code)22t23",-0.427350716854008,0.267781315677838,-1.59589445504161,0.110549300571631
"factor(code)24t25",0.185629985515189,0.27522091300331,0.674476308829614,0.500026770048536
"factor(code)26t27",0.00737443016179063,0.310608369465765,0.023741891354938,0.981059044729985
"factor(code)28",0.407434991275794,0.324637141484423,1.2550473720067,0.209495849911018
"factor(code)29t30",-0.115219941540193,0.380785774823843,-0.302584679255667,0.762213748894531
"factor(code)31t33",0.105727928249625,0.29722795858122,0.355713267198361,0.722064079733556
"factor(code)45",1.51848771411503,0.287077002677233,5.28947878079352,0.000000125700105432241
"factor(code)46",1.29150044585557,0.243922547994814,5.29471529578736,0.000000122162427361195
"factor(code)47",1.54301234844284,0.22949904518184,6.72339332488402,0.0000000000188919359133292
"factor(code)49t52",1.33044592755018,0.233002337877497,5.71001106542405,0.0000000116743629042018
"factor(code)53",0.14161272374492,0.302033410262944,0.468864433314298,0.639178488830126
"factor(code)58t60",0.927171250579921,0.256665758711222,3.61236830045216,0.000305152493300559
"factor(code)61",-0.0226543319555956,0.332749606441852,-0.0680822201349604,0.945721775045681
"factor(code)62t63",5.86653882695444,0.408375650097134,14.3655451189586,0.000000000000000000000000000000000000000000000293283828313814
"factor(code)B",-1.2177047401125,0.437025339710759,-2.78634813468352,0.00534230214727421
"factor(code)DtE",1.13861475883862,0.268169231676504,4.24588142241518,0.0000220037879920565
"factor(code)F",0.85476127667898,0.299471596971698,2.85423153755634,0.00432447576310606
"factor(code)I",2.68184320523518,0.234244204405048,11.4489202072117,0.00000000000000000000000000000394377982548899
"factor(code)K",1.19907364219286,0.238126250785441,5.03545341279181,0.000000486451891952921
"factor(code)L",2.92495315562622,0.429062757488592,6.81707536852343,0.00000000000992095611670172
"factor(code)MtN",3.88769559486791,0.239128563180415,16.257763368631,0.000000000000000000000000000000000000000000000000000000000147738282381226
"factor(code)P",1.8834937059537,0.228333719036025,8.2488636102692,0.000000000000000183668952808724
"factor(code)Q",2.61044498915582,0.232470864675782,11.2291275416234,0.000000000000000000000000000046818193808573
"factor(code)R",2.77738418849413,0.281555098552246,9.86444288444932,0.000000000000000000000078567107666249
"factor(code)S",1.86288818857593,0.281255799731486,6.62346586400856,0.0000000000372044846667877
"(Intercept)",1.43398486183239,0.56341912615527,2.5451476445569,0.0109405745900389
"prod_logchanges_b1",-0.157217654141639,0.023694588964689,-6.63517119355535,0.0000000000343840072179232
"prod_logchanges_b2",-0.387004514577457,0.0507218914550689,-7.62993065667274,0.0000000000000260115603199054
"prod_logchanges_b3",-0.0369207403639546,0.0464997169310592,-0.793999249902823,0.427217911603893
"prod_logchanges_b4",-0.0896885722335933,0.032999304391923,-2.7178928127814,0.0065831566354068
"prod_logchanges_b5",-0.121357015521085,0.0173282434286912,-7.00342282358223,0.00000000000268682229448749
"prod_logchanges_c1",-0.603282840803297,0.244684841369801,-2.46555053196587,0.0136997878751736
"prod_logchanges_c1_lag1",-0.339985117513792,0.228855883600697,-1.48558609096977,0.13742551805821
"prod_logchanges_c1_lag2",-0.320397809226238,0.244962562540384,-1.3079460220515,0.190926794418602
"prod_logchanges_c1_lag3",-0.567660629374745,0.229366320070275,-2.47490838759946,0.0133462875498873
"prod_logchanges_c2",0.0554323667643862,0.0989995155882964,0.559925636352703,0.575544835443079
"prod_logchanges_c2_lag1",0.0644856645519636,0.0854909748072168,0.754297920890241,0.450691131333234
"prod_logchanges_c2_lag2",0.459388048688267,0.0939120749654025,4.89168244719869,0.00000101802986787792
"prod_logchanges_c2_lag3",0.38462151616934,0.0852110428010442,4.51375201530367,0.00000645429111004566
"prod_logchanges_c3",1.21824472248033,0.194545894507946,6.26199142141533,0.000000000398423615718641
"prod_logchanges_c3_lag1",0.483260882873901,0.179097014311436,2.69831903525509,0.00698275144772701
"prod_logchanges_c3_lag2",0.291011385838667,0.176261793213859,1.6510179576216,0.0987716471278937
"prod_logchanges_c3_lag3",0.273370682514169,0.172650442012386,1.5833766732816,0.113372634907791
"prod_logchanges_c4",0.0756591359048285,0.118343098967915,0.639320218624165,0.522631771661586
"prod_logchanges_c4_lag1",-0.17531435518304,0.127266950955867,-1.3775324533691,0.168383757371444
"prod_logchanges_c4_lag2",-0.0882281790556266,0.136819549880627,-0.644850674721589,0.519041266410444
"prod_logchanges_c4_lag3",-0.160985024869527,0.12847942220754,-1.25300240383614,0.21023910990641
