Kolonne1;Estimate;Std, Error;t value;Pr(>|t|)
(Intercept);-0,2581;0,0778;-3,3166;0,0009
prod_logchanges_b1;-0,1726;0,0207;-8,3241;0,0000
prod_logchanges_b2;-0,3464;0,0352;-9,8370;0,0000
prod_logchanges_b3;-0,0397;0,0407;-0,9769;0,3287
prod_logchanges_b4;-0,1302;0,0288;-4,5192;0,0000
prod_logchanges_b5;-0,1386;0,0139;-9,9630;0,0000
prod_logchanges_c1;-0,5381;0,2356;-2,2841;0,0224
prod_logchanges_c1_lag1;-0,1999;0,2263;-0,8835;0,3770
prod_logchanges_c1_lag2;-0,3850;0,2417;-1,5928;0,1112
prod_logchanges_c1_lag3;-0,5471;0,2231;-2,4520;0,0142
prod_logchanges_c2;0,0649;0,0993;0,6532;0,5137
prod_logchanges_c2_lag1;0,0481;0,0816;0,5899;0,5553
prod_logchanges_c2_lag2;0,4802;0,0909;5,2807;0,0000
prod_logchanges_c2_lag3;0,3670;0,0836;4,3925;0,0000
prod_logchanges_c3;1,1134;0,1822;6,1095;0,0000
prod_logchanges_c3_lag1;0,3640;0,1824;1,9948;0,0461
prod_logchanges_c3_lag2;0,2797;0,1777;1,5742;0,1155
prod_logchanges_c3_lag3;0,2180;0,1701;1,2818;0,2000
prod_logchanges_c4;0,2216;0,1145;1,9362;0,0529
prod_logchanges_c4_lag1;-0,1843;0,1245;-1,4801;0,1389
prod_logchanges_c4_lag2;-0,1780;0,1329;-1,3394;0,1805
prod_logchanges_c4_lag3;-0,1467;0,1204;-1,2180;0,2232
prod_logchanges_c5;0,1535;0,1965;0,7810;0,4348
prod_logchanges_c5_lag1;0,1632;0,1600;1,0201;0,3077
prod_logchanges_c5_lag2;-0,0699;0,2017;-0,3466;0,7289
prod_logchanges_c5_lag3;0,1446;0,1383;1,0460;0,2956
(Intercept);-0,8818;0,2341;-3,7663;0,0002
prod_logchanges_b1;-0,1821;0,0215;-8,4610;0,0000
prod_logchanges_b2;-0,4034;0,0421;-9,5841;0,0000
prod_logchanges_b3;-0,1013;0,0451;-2,2465;0,0247
prod_logchanges_b4;-0,1098;0,0289;-3,7986;0,0001
prod_logchanges_b5;-0,1510;0,0143;-10,5602;0,0000
prod_logchanges_c1;0,0004;0,2252;0,0019;0,9985
prod_logchanges_c1_lag1;0,3578;0,2148;1,6661;0,0957
prod_logchanges_c1_lag2;0,1935;0,2368;0,8171;0,4139
prod_logchanges_c1_lag3;0,0005;0,2127;0,0024;0,9981
prod_logchanges_c2;-0,2927;0,0954;-3,0681;0,0022
prod_logchanges_c2_lag1;-0,3065;0,0803;-3,8196;0,0001
prod_logchanges_c2_lag2;0,1270;0,0900;1,4119;0,1580
prod_logchanges_c2_lag3;0,0602;0,0796;0,7570;0,4491
prod_logchanges_c3;0,8102;0,1634;4,9571;0,0000
prod_logchanges_c3_lag1;-0,0146;0,1535;-0,0953;0,9241
prod_logchanges_c3_lag2;-0,0948;0,1558;-0,6087;0,5427
prod_logchanges_c3_lag3;-0,1922;0,1503;-1,2788;0,2010
prod_logchanges_c4;0,3337;0,1025;3,2559;0,0011
prod_logchanges_c4_lag1;-0,1063;0,1104;-0,9627;0,3357
prod_logchanges_c4_lag2;-0,1492;0,1219;-1,2237;0,2211
prod_logchanges_c4_lag3;-0,0549;0,1139;-0,4825;0,6294
prod_logchanges_c5;0,2644;0,1907;1,3869;0,1655
prod_logchanges_c5_lag1;0,2702;0,1582;1,7078;0,0877
prod_logchanges_c5_lag2;0,0695;0,1965;0,3540;0,7234
prod_logchanges_c5_lag3;0,2589;0,1355;1,9108;0,0561
factor(country)BE;0,6082;0,1926;3,1575;0,0016
factor(country)CZ;-1,6853;0,3543;-4,7570;0,0000
factor(country)DE;-0,0991;0,1625;-0,6102;0,5418
factor(country)DK;-0,5376;0,1844;-2,9159;0,0036
factor(country)EL;-0,3006;0,3668;-0,8196;0,4124
factor(country)FI;-0,7469;0,1786;-4,1809;0,0000
factor(country)FR;-0,4300;0,1419;-3,0308;0,0024
factor(country)IT;0,3043;0,1757;1,7319;0,0833
factor(country)LU;-1,2192;0,3958;-3,0802;0,0021
factor(country)NL;-0,0770;0,1863;-0,4136;0,6792
factor(country)SE;-0,2769;0,2308;-1,1995;0,2304
factor(country)SI;-1,3569;0,4485;-3,0253;0,0025
