"","Resp_id1","ISCO_NU","Functions","strata","bra10grp","bra10grp_code","aldergrp","udgrp","loengrp","pervgt","A1","A1a","A3","A4","A5","A7","A8","A9","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13","B14","B15","C1","C2","C3","C4","C5","D1","D2","D3","D4","E3","E3a","E3b","E3c","E4","E4a","E4b","E4c","E1","E1a","E1b","E1c","E2","E2a","E2b","E2c","F1","F1a","F1b","F1c","F2","F2a","F2b","F2c","G1","G1a","G1b","G1c","G2","G2a","G2b","G2c","G3","G3a","G3b","G3c","H1","H2","H3","H4","J1","J2","J3"
"1","LS102824","Business and administration associate professionals","3",4,"Erhvervsservice",8,2,2,2,1354.69218625109,1,NA,38,NA,1,1,1,1,1,1,2,3,3,3,4,4,4,3,4,4,1,4,4,3,3,3,3,3,2,4,4,3,4,3,NA,NA,1,3,2,1,5,3,NA,NA,2,3,2,2,5,3,NA,NA,5,3,NA,NA,4,1,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,91,3,3
"2","LS103087","General and keyboard clerks","4",3,"Industri, råstofindvinding og forsyningsvirksomhed",2,1,2,2,3027.50143798852,1,NA,83,NA,1,1,1,2,1,2,2,4,2,3,3,2,2,2,3,4,2,1,3,1,3,2,3,3,1,4,4,2,1,3,2,2,1,1,2,2,3,3,2,2,3,3,2,2,4,3,NA,NA,3,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,98,3,13
"3","LS103468","Personal care workers","5",7,"Offentlig administration, undervisning og sundhed",9,3,2,2,1870.08831774567,1,NA,19,NA,1,1,1,1,1,1,1,5,2,2,3,2,2,2,2,1,4,4,3,3,3,3,3,3,1,5,4,4,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,19,2,13
"4","LS104992","Information and communications technology","2",1,"Information og kommunikation",5,1,3,2,3143.12186280881,1,NA,85,NA,1,1,1,1,3,2,2,3,2,2,3,3,4,2,2,2,4,4,3,2,3,1,3,3,2,4,3,2,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,2,3,3,1,5,3,NA,NA,5,3,NA,NA,1,3,3,2,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,85,3,8
"5","LS105742","Business and administration associate professionals","3",6,"Bygge og anlæg",3,2,1,4,1535.60781790307,1,NA,91,NA,1,1,1,1,1,1,1,4,2,2,3,1,1,1,1,2,1,4,4,3,3,3,3,3,2,5,3,2,2,3,3,1,2,3,3,1,2,3,2,1,2,3,2,1,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,4,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,91,2,3
"6","LS105747","None","None",5,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,2,4,2051.18905721784,1,NA,38,NA,1,1,1,1,2,2,2,4,2,2,5,2,3,2,3,3,4,4,3,1,1,3,2,2,3,5,4,2,3,2,3,1,2,3,3,2,4,3,NA,NA,2,3,3,2,5,3,NA,NA,5,3,NA,NA,1,3,3,2,2,3,2,2,1,3,3,2,NA,NA,NA,NA,38,2,2
"7","LS105824","Market-oriented skilled forestry, fishery and hunting","6",3,"Landbrug, skovbrug og fiskeri",1,3,2,2,1449.33981207959,1,NA,38,NA,1,1,1,1,3,1,1,4,1,3,1,4,1,1,4,4,4,5,4,3,3,3,1,1,1,5,1,5,4,3,NA,NA,3,3,3,1,5,3,NA,NA,2,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,38,3,1
"8","LS105863","None","None",6,"Offentlig administration, undervisning og sundhed",9,2,2,4,1068.54425813598,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,11,3,13
"9","LS106166","Teaching professionals","2",4,"Offentlig administration, undervisning og sundhed",9,2,3,4,1053.32251830062,1,NA,98,NA,1,1,1,1,3,1,1,3,1,2,4,2,2,2,1,2,5,5,4,3,1,3,2,2,2,5,2,3,1,3,3,1,5,3,NA,NA,3,3,1,1,3,1,3,2,5,3,NA,NA,5,3,NA,NA,3,1,2,2,4,1,NA,NA,5,3,NA,NA,NA,NA,NA,NA,98,3,4
"10","LS106822","Business and administration professionals","2",10,"Erhvervsservice",8,2,2,2,900.490143102891,1,NA,36,NA,1,2,2,1,1,1,1,5,1,1,1,1,1,2,1,2,2,5,4,1,3,2,1,1,1,5,5,2,3,1,3,1,2,2,3,1,1,1,3,1,1,1,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,36,2,4
"11","LS107239","Science and engineering associate professionals","3",4,"Industri, råstofindvinding og forsyningsvirksomhed",2,3,2,3,700.719220859637,1,NA,93,NA,1,1,1,1,2,2,4,4,2,2,3,3,2,2,2,4,3,3,4,1,1,2,1,1,1,3,3,3,3,3,1,2,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,1,3,2,2,NA,NA,NA,NA,93,3,1
"12","LS107916","Numerical and material recording clerks","4",4,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,2,4,1256.80836318172,1,NA,33,NA,1,1,1,1,2,2,3,2,3,3,3,2,2,2,2,3,4,4,4,3,3,3,3,3,1,5,2,3,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,1,3,3,1,5,3,NA,NA,5,3,NA,NA,1,3,3,1,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,33,3,13
"13","LS108141","General and keyboard clerks","4",1,"Erhvervsservice",8,3,2,2,2294.21567594839,1,NA,44,NA,1,1,2,2,1,2,2,4,3,1,3,3,1,1,3,3,2,1,1,2,2,1,1,1,1,5,2,2,4,2,NA,NA,1,1,2,1,3,3,2,1,1,3,2,1,5,3,NA,NA,5,3,NA,NA,1,3,2,1,1,3,2,1,1,3,2,1,NA,NA,NA,NA,44,3,13
"14","LS108587","Business and administration associate professionals","3",8,"Finansiering og forsikring",6,2,2,4,1142.69026766395,1,NA,24,NA,1,1,1,1,1,1,1,4,2,1,2,1,1,3,1,4,2,5,4,3,3,3,3,3,2,4,2,2,1,3,1,1,3,3,3,2,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,2,2,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,24,2,13
"15","LS109172","Teaching professionals","2",6,"Offentlig administration, undervisning og sundhed",9,2,3,3,1326.05977763161,1,NA,82,NA,1,1,1,1,5,1,1,3,2,2,5,3,2,2,3,1,3,5,4,3,3,3,3,3,2,3,4,4,1,3,1,1,3,2,2,3,4,3,NA,NA,1,3,1,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,82,2,1
"16","LS109546","Chief executives, senior officials and legislators","1",4,"Erhvervsservice",8,1,3,4,1415.12794885876,1,NA,98,NA,1,1,1,2,1,1,1,2,1,1,3,1,2,2,1,2,3,2,2,1,1,2,1,2,2,5,2,1,1,2,3,2,1,3,2,2,3,2,3,2,2,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,2,2,3,2,3,2,3,2,NA,NA,NA,NA,98,3,7
"17","LS109937","Metal, machinery and related trades workers","7",9,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,2,2,2604.30904104405,1,NA,36,NA,1,2,2,2,1,1,2,3,2,2,4,2,2,1,4,3,2,5,3,3,1,3,3,3,2,4,3,3,4,2,NA,NA,5,2,NA,NA,5,2,NA,NA,5,2,NA,NA,1,1,2,2,1,1,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,36,3,1
"18","LS110457","Food preparation assistants","9",1,"Offentlig administration, undervisning og sundhed",9,3,2,2,2294.21567594839,1,NA,18,NA,1,1,1,1,1,2,1,4,3,2,3,3,1,1,5,4,1,5,5,1,2,1,1,1,1,5,2,1,4,2,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,18,3,13
